product_id,product_handle,product_title,product_body_html,product_description,vendor,product_type,tags,published,price,status
39831668-style4-180x200cm-china,mmermind-fleece-blankets-and-throws-adult-thick-warm-winter-blankets-home-super-soft-duvet-luxury-solid-blankets-on-twin-bedding,mmermind fleece blankets and throws Adult Thick Warm winter Blankets Home Super Soft duvet luxury solid Blankets On twin Bedding,<p><span><strong>Brand Name:</strong> mmermind</span><br><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Material:</strong> 100% Polyester</span><br><span><stron…,<p><span><strong>Brand Name:</strong> mmermind</span><br><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Material:</strong> 100% Polyester</span><br><span><strong>Feature:</strong> Anti-Pilling</span><br><span><strong>Pattern Type:</strong> Solid</span><br><span><strong>Season:</strong> Winter</span><br><span><strong>Type:</strong> Coral Fleece Fabric</span><br><span><strong>Grade:</strong> Grade A</span><br><span><strong>Model Number:</strong> SG52</span><br><span><strong>Pattern:</strong> Flocked</span><br><span><strong>Style:</strong> Modern</span><br><span><strong>Set Type:</strong> No</span><br><span><strong>Color Fastness (Grade):</strong> 4</span><br><span><strong>Technics:</strong> Nonwoven</span><br><span><strong>Shape:</strong> Square</span><br><span><strong>Use:</strong> Hospital</span><br><span><strong>Use:</strong> Home</span><br><span><strong>Use:</strong> HOTEL</span><br><span><strong>Weight:</strong> 1000g</span><br><span><strong>Wash Style:</strong> Mechanical Wash</span><br><span><strong>Age Group:</strong> Adults</span><br><span><strong>fleece blankets:</strong> fleece blankets</span><br><span><strong>winter Blankets:</strong> winter Blankets</span></p>,Awhale,Home & Garden > Linens & Bedding > Bedding > Blankets,,TRUE,60.99,active
42084282-yellow-230x230cm-belgium,winter-flannel-blanket-solid-color-plaid-coral-blanket-fleece-bedspread-for-bed-sofa-thicken-plush-blanket-thin-quilt-home-decor,Winter Flannel Blanket Solid Color Plaid Coral Blanket Fleece Bedspread For Bed Sofa Thicken Plush Blanket Thin Quilt Home Decor,<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Material:</strong> Microfiber Fabric</span><br><span><strong>Feature:</strong> Heated</span><br><span><strong>…,"<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Material:</strong> Microfiber Fabric</span><br><span><strong>Feature:</strong> Heated</span><br><span><strong>Feature:</strong> Anti-Pilling</span><br><span><strong>Feature:</strong> Portable</span><br><span><strong>Pattern Type:</strong> Solid</span><br><span><strong>Season:</strong> Winter</span><br><span><strong>Type:</strong> Flannel Fabric</span><br><span><strong>Grade:</strong> Grade A</span><br><span><strong>Model Number:</strong> MT005</span><br><span><strong>Pattern:</strong> Plain Dyed</span><br><span><strong>Style:</strong> Modern</span><br><span><strong>Set Type:</strong> No</span><br><span><strong>Color Fastness (Grade):</strong> 3</span><br><span><strong>Technics:</strong> Woven</span><br><span><strong>Shape:</strong> Rectangle</span><br><span><strong>Use:</strong> Picnic</span><br><span><strong>Use:</strong> Travel</span><br><span><strong>Use:</strong> Military</span><br><span><strong>Use:</strong> Hospital</span><br><span><strong>Use:</strong> Home</span><br><span><strong>Use:</strong> HOTEL</span><br><span><strong>Use:</strong> Airplane</span><br><span><strong>Weight:</strong> 0.59-1.45kg</span><br><span><strong>Wash Style:</strong> Mechanical Wash</span><br><span><strong>Age Group:</strong> Adults</span><br><span><strong>home blanket:</strong> bed cover blanket, Bedspreads Blankets</span><br><span><strong>Color:</strong> Pink, Yellow, Cream, Grey-Blue, Grey</span><br><span><strong>Material:</strong> Flannel fabric</span></p>",Awhale,Home & Garden > Linens & Bedding > Bedding > Blankets,,TRUE,41.99,active
42964155-green-130x150cm-china,nordic-knitted-blanket-soild-color-sofa-throw-blanket-with-tassels-travel-tv-nap-blankets-air-condition-blankets-bed-decorative,Nordic Knitted Blanket Soild Color Sofa Throw Blanket With Tassels Travel TV Nap Blankets Air Condition Blankets Bed Decorative,<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Material:</strong> Polyester / Acrylic</span><br><span><strong>Feature:</strong> Heated</span><br><span><stron…,"<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Material:</strong> Polyester / Acrylic</span><br><span><strong>Feature:</strong> Heated</span><br><span><strong>Feature:</strong> Portable</span><br><span><strong>Pattern Type:</strong> Geometric</span><br><span><strong>Season:</strong> Spring/Autumn</span><br><span><strong>Type:</strong> Thread Blanket/Towel Blanket</span><br><span><strong>Grade:</strong> Grade A</span><br><span><strong>Model Number:</strong> MT007</span><br><span><strong>Pattern:</strong> Yarn Dyed</span><br><span><strong>Style:</strong> Pastoral</span><br><span><strong>Set Type:</strong> No</span><br><span><strong>Color Fastness (Grade):</strong> 4</span><br><span><strong>Technics:</strong> Knitting</span><br><span><strong>Shape:</strong> Rectangle</span><br><span><strong>Use:</strong> Picnic</span><br><span><strong>Use:</strong> Travel</span><br><span><strong>Use:</strong> Military</span><br><span><strong>Use:</strong> Hospital</span><br><span><strong>Use:</strong> Home</span><br><span><strong>Use:</strong> HOTEL</span><br><span><strong>Use:</strong> Airplane</span><br><span><strong>Weight:</strong> 0.525Kg</span><br><span><strong>Wash Style:</strong> Hand Wash</span><br><span><strong>Age Group:</strong> Adults</span><br><span><strong>home blanket:</strong> bed cover blanket, Bedspreads Blankets</span><br><span><strong>Color:</strong> Yellow and Grey</span><br><span><strong>Material:</strong> Acrylic</span><br><span><strong>Type:</strong> Knitted blanket, Woolen blanket</span><br><span><strong>Product Care:</strong> Hand wash at room temperature</span><br><span><strong>Season:</strong> Winter, Spring and Autumn</span><br><span><strong>Picture Type:</strong> Yellow and Grey Plaid, Geometry, Soild Color</span><br><span><strong>Age Group:</strong> Adults</span><br><span><strong>Blanket:</strong> blanket bedspread, home blanket with tassels</span></p>",Awhale,Home & Garden > Linens & Bedding > Bedding > Blankets,,TRUE,27.99,active
46478833-pink-42-45cm,flower-plush-throw-pillow-soft-plant-cartoon-chair-cushion-living-bedroom-home-decorative-pillows-sofa-cushions-birthday-gifts,Flower Plush Throw Pillow Soft Plant Cartoon Chair Cushion Living Bedroom Home Decorative Pillows Sofa Cushions Birthday Gifts,<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Type:</strong> Seat Cushion/Back Cushion</span><br><span><strong>Feature:</strong> Memory</span><br><span><str…,<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Type:</strong> Seat Cushion/Back Cushion</span><br><span><strong>Feature:</strong> Memory</span><br><span><strong>Set Type:</strong> No</span><br><span><strong>Unpick and Wash:</strong> Not Removable and Washable</span><br><span><strong>Pattern:</strong> PRINTED</span><br><span><strong>is_customized:</strong> No</span><br><span><strong>Style:</strong> MEDITERRANEAN</span><br><span><strong>Model Number:</strong> P161</span><br><span><strong>Technics:</strong> Knitted</span><br><span><strong>Shape:</strong> Round</span><br><span><strong>Pattern Type:</strong> cartoon</span><br><span><strong>Filling:</strong> Cotton</span><br><span><strong>Material:</strong> Polyester / Cotton</span><br><span><strong>Age Group:</strong> Adults</span><br><span><strong>Dimensions:</strong> 32-35cm/42-45cm/52-55cm</span><br><span><strong>Warning:</strong> 3 years and up</span></p>,Awhale,Home & Garden > Linens & Bedding > Bedding > Pillows,,TRUE,18.99,active
41153276-08-130x180cm-1pcs,europe-style-sofa-throw-blanket-cotton-thread-knitted-blanket-with-tassel-geometry-bohemian-sofa-cover-bed-blanket-home-decor,Europe Style Sofa Throw Blanket Cotton Thread Knitted Blanket With Tassel Geometry Bohemian Sofa Cover Bed Blanket Home Decor,<p><span><strong>Brand Name:</strong> POLLUELO</span><br><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Material:</strong> Polyester / Cotton</span><br><span><s…,<p><span><strong>Brand Name:</strong> POLLUELO</span><br><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Material:</strong> Polyester / Cotton</span><br><span><strong>Feature:</strong> Portable</span><br><span><strong>Feature:</strong> Wearable</span><br><span><strong>Pattern Type:</strong> Geometric</span><br><span><strong>Season:</strong> Spring/Autumn</span><br><span><strong>Type:</strong> Thread Blanket/Towel Blanket</span><br><span><strong>Grade:</strong> Grade A</span><br><span><strong>Model Number:</strong> A01568</span><br><span><strong>Pattern:</strong> PRINTED</span><br><span><strong>Style:</strong> europe</span><br><span><strong>Color Fastness (Grade):</strong> 4</span><br><span><strong>Technics:</strong> Knitted</span><br><span><strong>Shape:</strong> Rectangle</span><br><span><strong>Use:</strong> Picnic</span><br><span><strong>Use:</strong> Travel</span><br><span><strong>Use:</strong> Home</span><br><span><strong>Use:</strong> HOTEL</span><br><span><strong>Use:</strong> Airplane</span><br><span><strong>Weight:</strong> 300-3000g</span><br><span><strong>Wash Style:</strong> Mechanical Wash</span><br><span><strong>Age Group:</strong> Adults</span><br><span><strong>Package included:</strong> 1 x sofa throw blanket</span></p>,Awhale,Home & Garden > Linens & Bedding > Bedding > Blankets,,TRUE,19.99,active
47626159-10-dark-green-30x50cm-no-filling,inyahome-new-art-velvet-yellow-blue-pink-solid-color-cushion-cover-pillow-cover-pillow-case-home-decorative-sofa-throw-decor,Inyahome New Art Velvet Yellow Blue Pink Solid Color Cushion Cover Pillow Cover Pillow Case Home Decorative Sofa Throw Decor,<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Type:</strong> Cusion</span><br><span><strong>Feature:</strong> Massage</span><br><span><strong>Set Type:</str…,<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Type:</strong> Cusion</span><br><span><strong>Feature:</strong> Massage</span><br><span><strong>Set Type:</strong> No</span><br><span><strong>Unpick and Wash:</strong> Removable and Washable</span><br><span><strong>is_customized:</strong> No</span><br><span><strong>Style:</strong> Japan Style</span><br><span><strong>Model Number:</strong> 615860577068</span><br><span><strong>Technics:</strong> Woven</span><br><span><strong>Shape:</strong> Rectangle</span><br><span><strong>Use:</strong> Seat</span><br><span><strong>Pattern Type:</strong> Solid</span><br><span><strong>Filling:</strong> ppcotton</span><br><span><strong>Material:</strong> Polyester / Cotton</span><br><span><strong>Age Group:</strong> Adults</span></p>,Awhale,Home & Garden > Linens & Bedding > Bedding > Pillows,,TRUE,8.99,active
38967156-model-8-125x160cm-approx-china,shaggy-throw-blanket-soft-long-plush-bed-cover-blanket-fluffy-faux-fur-bedspread-blankets-for-beds-couch-sofa,Shaggy Throw Blanket Soft Long Plush Bed Cover Blanket Fluffy Faux Fur Bedspread Blankets for Beds Couch Sofa,<p><span><strong>Material:</strong> 100% Polyester</span><br><span><strong>Feature:</strong> keep warm</span><br><span><strong>Pattern Type:</strong> Solid</span><br><span><strong…,<p><span><strong>Material:</strong> 100% Polyester</span><br><span><strong>Feature:</strong> keep warm</span><br><span><strong>Pattern Type:</strong> Solid</span><br><span><strong>Season:</strong> Winter</span><br><span><strong>Type:</strong> Other</span><br><span><strong>Grade:</strong> Quality</span><br><span><strong>Model Number:</strong> Throw Blanket</span><br><span><strong>Pattern:</strong> Plain Dyed</span><br><span><strong>Style:</strong> Modern</span><br><span><strong>Set Type:</strong> No</span><br><span><strong>Color Fastness (Grade):</strong> 3-4</span><br><span><strong>Technics:</strong> Woven</span><br><span><strong>Shape:</strong> Rectangle</span><br><span><strong>Use:</strong> Picnic</span><br><span><strong>Use:</strong> Travel</span><br><span><strong>Use:</strong> Hospital</span><br><span><strong>Use:</strong> Home</span><br><span><strong>Use:</strong> HOTEL</span><br><span><strong>Use:</strong> Airplane</span><br><span><strong>Weight:</strong> 500-1600g</span><br><span><strong>Wash Style:</strong> Mechanical Wash</span><br><span><strong>Age Group:</strong> Adults</span><br><span><strong>Function 1:</strong> Bedding Blanket</span><br><span><strong>Function 2:</strong> Sofa Chair Couch Blanket</span><br><span><strong>Function 3:</strong> Air Conditioning Blanket</span><br><span><strong>Function 4:</strong> Throw Blanket</span><br><span><strong>Function 5:</strong> Christmas New Year Gift For Chirldren</span><br><span><strong>Function 6:</strong> Bedspread Of Child Bed</span><br><span><strong>Size 1:</strong> 75x115cm(approx.)</span><br><span><strong>Size 2:</strong> 125x160cm(approx.)</span><br><span><strong>Size 3:</strong> 160x195cm(approx.)</span></p>,Awhale,Home & Garden > Linens & Bedding > Bedding > Blankets,,TRUE,22.99,active
45101132-black-gray-127x172cm,textile-city-faux-cashmere-sofa-blanket-cover-nordic-style-knit-plaid-throw-tassels-bedspread-golden-blanket-for-spring-summer,Textile City Faux Cashmere Sofa Blanket Cover Nordic Style Knit Plaid Throw Tassels Bedspread Golden Blanket for Spring Summer,<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Material:</strong> 100% Acrylic</span><br><span><strong>Feature:</strong> Anti-Pilling</span><br><span><strong…,"<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Material:</strong> 100% Acrylic</span><br><span><strong>Feature:</strong> Anti-Pilling</span><br><span><strong>Pattern Type:</strong> Plaid</span><br><span><strong>Season:</strong> Spring/Autumn</span><br><span><strong>Type:</strong> Thread Blanket/Towel Blanket</span><br><span><strong>Grade:</strong> Grade A</span><br><span><strong>Model Number:</strong> NO2</span><br><span><strong>Pattern:</strong> Yarn Dyed</span><br><span><strong>Style:</strong> Modern</span><br><span><strong>Set Type:</strong> No</span><br><span><strong>Color Fastness (Grade):</strong> 4</span><br><span><strong>Technics:</strong> Knitted</span><br><span><strong>Shape:</strong> Rectangle</span><br><span><strong>Use:</strong> Picnic</span><br><span><strong>Use:</strong> Travel</span><br><span><strong>Use:</strong> Military</span><br><span><strong>Use:</strong> Hospital</span><br><span><strong>Use:</strong> Home</span><br><span><strong>Use:</strong> HOTEL</span><br><span><strong>Use:</strong> Airplane</span><br><span><strong>Weight:</strong> 550g</span><br><span><strong>Wash Style:</strong> Hand Wash</span><br><span><strong>Age Group:</strong> Adults</span><br><span><strong>pattern:</strong> Geometric pattern</span><br><span><strong>colour:</strong> Turmeric, ash, beige, khaki, brick red</span><br><span><strong>Dimensions and specifications:</strong> 127 * 152 + 20cm(50""x60"")</span><br><span><strong>season:</strong> Autumn and winter</span><br><span><strong>Fabric material:</strong> acrylic fibres</span></p>",Awhale,Home & Garden > Linens & Bedding > Bedding > Blankets,,TRUE,27.99,active
40179302-hu-po-lv-twin-size-3pcs,bedding-set-solid-color-luxury-bedding-kit-rayon-satin-duvet-cover-set-twin-queen-king-size-bed-set-2pcs-3pcs-4pcs,Bedding Set Solid Color Luxury Bedding Kit Rayon Satin Duvet Cover Set Twin Queen King Size Bed Set 2pcs/3pcs/4pcs,<p><span><strong>Brand Name:</strong> FLOWERS AND CAKES</span><br><span><strong>Material:</strong> Rayon</span><br><span><strong>is_customized:</strong> No</span><br><span><strong…,<p><span><strong>Brand Name:</strong> FLOWERS AND CAKES</span><br><span><strong>Material:</strong> Rayon</span><br><span><strong>is_customized:</strong> No</span><br><span><strong>Suitable Region:</strong> North America</span><br><span><strong>Type:</strong> Duvetcover&amp;2pcs Pillowcase&amp;1sheet</span><br><span><strong>Style:</strong> Solid</span><br><span><strong>Fabirc Construction:</strong> 120gsm</span><br><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Process Technique:</strong> Quilting</span><br><span><strong>Fabirc Style:</strong> Twill</span><br><span><strong>Application Size:</strong> 1.0m (3.3 feet)</span><br><span><strong>Application Size:</strong> 1.2m (4 feet)</span><br><span><strong>Application Size:</strong> 1.35m (4.5 feet)</span><br><span><strong>Application Size:</strong> 1.5m (5 feet)</span><br><span><strong>Application Size:</strong> 1.8m (6 feet)</span><br><span><strong>Application Size:</strong> 2.0m (6.6 feet)</span><br><span><strong>Application Size:</strong> 2.2m (7 feet)</span><br><span><strong>Quantity:</strong> 4 pcs</span><br><span><strong>Weight:</strong> 1kg-1.6kg</span><br><span><strong>Color Fastness (Grade):</strong> National Standards</span></p>,Awhale,Home & Garden > Linens & Bedding > Bedding,,TRUE,31.99,active
27952986-white-double-4pcs-180x220,nordic-simple-bedding-set-adult-duvet-cover-sets-bedclothes-bed-linen-sheet-single-double-queen-king-size-qulit-covers-240-220,Nordic Simple Bedding Set Adult Duvet Cover Sets Bedclothes Bed Linen Sheet Single Double Queen King size Qulit Covers 240/220,<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Grade:</strong> Grade A</span><br><span><strong>Pattern:</strong> PRINTED</span><br><span><strong>is_customize…,"<p><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Grade:</strong> Grade A</span><br><span><strong>Pattern:</strong> PRINTED</span><br><span><strong>is_customized:</strong> No</span><br><span><strong>Style:</strong> Modern</span><br><span><strong>Material:</strong> 100% Polyester</span><br><span><strong>Technics:</strong> Woven</span><br><span><strong>Use:</strong> Home</span><br><span><strong>Thread Count:</strong> 400TC</span><br><span><strong>Pattern Type:</strong> PLANT</span><br><span><strong>Model Number:</strong> YH0012/YH0049/YH0056/JB0060/0050009</span><br><span><strong>Weight:</strong> 0.9KG-1.5KG</span><br><span><strong>Age Group:</strong> For Kids and adult bedding sets (housse de couette)</span><br><span><strong>Fabric Count:</strong> 60</span><br><span><strong>Color:</strong> Green/Black/White/Grey/Yellow</span><br><span><strong>Material:</strong> Soft Polyester (Not include comforter/quilt</span><br><span><strong>Application Size:</strong> 1.5m (5 feet),1.8m (6 feet),2.0m (6.6 feet),2.2m (7 feet)</span><br><span><strong>Type:</strong> Pillowcases &amp; Duvet Cover Sets (Without Comforter/Quilt)</span><br><span><strong>Size Chart:</strong> Single, Double, Queen, King</span><br><span><strong>Pillowcase size:</strong> 48 cm X 74 cm = 19 in X 29 in</span><br><span><strong>Quantity:</strong> 3/4Pcs Bedding Set / Bedclothes</span><br><span><strong>Support:</strong> Wholesale &amp; Dropshipping</span><br><span><strong>Season:</strong> Spring/Summer/Autumn/Winter</span><br><span><strong>Type1:</strong> Bed Linens / Flat Bed Sheet</span></p>",Awhale,Home & Garden > Linens & Bedding > Bedding,,TRUE,50.99,active
